Accession	Id	Description
PF10014	2OG-Fe_Oxy_2	2OG-Fe dioxygenase
PF10017	Methyltransf_33	Histidine-specific methyltransferase, SAM-dependent
PF10027	DUF2269	Predicted integral membrane protein (DUF2269)
PF10031	DUF2273	Small integral membrane protein (DUF2273)
PF10042	DUF2278	Uncharacterized conserved protein (DUF2278)
PF10049	DUF2283	Protein of unknown function (DUF2283)
PF10056	DUF2293	Uncharacterized conserved protein (DUF2293)
PF10060	DUF2298	Uncharacterized membrane protein (DUF2298)
PF10066	DUF2304	Uncharacterized conserved protein (DUF2304)
PF10067	DUF2306	Predicted membrane protein (DUF2306)
PF10078	DUF2316	Uncharacterized protein conserved in bacteria (DUF2316)
PF10082	BBP2_2	Putative beta-barrel porin 2
PF10087	DUF2325	Uncharacterized protein conserved in bacteria (DUF2325)
PF10088	DUF2326	Uncharacterised protein conserved in bacteria (DUF2326)
PF10091	Glycoamylase	Putative glucoamylase
PF10094	DUF2332	Uncharacterized protein conserved in bacteria (DUF2332)
PF10096	DUF2334	Uncharacterized protein conserved in bacteria (DUF2334)
PF10100	Staph_opine_DH	Staphylopine dehydrogenase
PF10111	Glyco_tranf_2_2	Glycosyltransferase like family 2
PF10112	Halogen_Hydrol	5-bromo-4-chloroindolyl phosphate hydrolysis protein
PF10118	Metal_hydrol	Predicted metal-dependent hydrolase
PF10120	ThiP_synth	Thiamine-phosphate synthase
PF10127	RlaP	RNA repair pathway DNA polymerase beta family
PF10129	OpgC_C	OpgC protein
PF10181	PIG-H	GPI-GlcNAc transferase complex, PIG-H component
PF10215	Ost4	Oligosaccaryltransferase
PF10237	N6-adenineMlase	Probable N6-adenine methyltransferase
PF10262	Rdx	Rdx family
PF10282	Lactonase	Lactonase, 7-bladed beta-propeller
PF10364	NKWYS	Putative capsular polysaccharide synthesis protein
PF10370	DUF2437	Domain of unknown function (DUF2437)
PF10371	EKR	Domain of unknown function
PF10394	Hat1_N	Histone acetyl transferase HAT1 N-terminus
PF10397	ADSL_C	Adenylosuccinate lyase C-terminus
PF10399	UCR_Fe-S_N	Ubiquitinol-cytochrome C reductase Fe-S subunit TAT signal
PF10415	FumaraseC_C	Fumarase C C-terminus
PF10417	1-cysPrx_C	C-terminal domain of 1-Cys peroxiredoxin
PF10423	AMNp_N	Bacterial AMP nucleoside phosphorylase N-terminus
PF10426	zf-RAG1	Recombination-activating protein 1 zinc-finger domain
PF10430	Ig_Tie2_1	Tie-2 Ig-like domain 1
PF10432	bact-PGI_C	Bacterial phospho-glucose isomerase C-terminal SIS domain
PF10439	Bacteriocin_IIc	Bacteriocin class II with double-glycine leader peptide
PF10440	WIYLD	Ubiquitin-binding WIYLD domain
PF10462	Peptidase_M66	Peptidase M66
PF10503	Esterase_PHB	Esterase PHB depolymerase
PF10509	GalKase_gal_bdg	Galactokinase galactose-binding signature
PF10554	Phage_ASH	Ash protein family
PF10555	MraY_sig1	Phospho-N-acetylmuramoyl-pentapeptide-transferase signature 1
PF10588	NADH-G_4Fe-4S_3	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
PF10589	NADH_4Fe-4S	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
PF10590	PNP_phzG_C	Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region
PF10604	Polyketide_cyc2	Polyketide cyclase / dehydrase and lipid transport
PF10605	3HBOH	3HB-oligomer hydrolase (3HBOH)
PF10612	Spore-coat_CotZ	Spore coat protein Z
PF10616	DUF2471	Protein of unknown function (DUF2471)
PF10620	MdcG	Phosphoribosyl-dephospho-CoA transferase MdcG
PF10633	NPCBM_assoc	NPCBM-associated, NEW3 domain of alpha-galactosidase
PF10637	Ofd1_CTDD	Oxoglutarate and iron-dependent oxygenase degradation C-term
PF10640	Pox_ATPase-GT	mRNA capping enzyme N-terminal, ATPase and guanylyltransferase
PF10651	BppU_N	BppU N-terminal domain
PF10652	DUF2480	Protein of unknown function (DUF2480)
PF10662	PduV-EutP	Ethanolamine utilisation - propanediol utilisation
PF10664	NdhM	Cyanobacterial and plastid NDH-1 subunit M
PF10672	Methyltrans_SAM	S-adenosylmethionine-dependent methyltransferase
PF10686	YAcAr	YspA, cpYpsA-related SLOG family
PF10696	DUF2501	Protein of unknown function (DUF2501)
PF10703	MoaF	MoaF N-terminal domain
PF10706	Aminoglyc_resit	Aminoglycoside-2''-adenylyltransferase
PF10708	DUF2510	Protein of unknown function (DUF2510)
PF10709	DUF2511	Protein of unknown function (DUF2511)
PF10716	NdhL	NADH dehydrogenase transmembrane subunit
PF10734	DUF2523	Protein of unknown function (DUF2523)
PF10737	GerPC	Spore germination protein GerPC
PF10738	Lpp-LpqN	Probable lipoprotein LpqN
PF10745	DUF2530	Protein of unknown function (DUF2530)
PF10750	DUF2536	Protein of unknown function (DUF2536)
PF10752	DUF2533	Protein of unknown function (DUF2533)
PF10756	bPH_6	Bacterial PH domain
PF10759	DUF2587	Protein of unknown function (DUF2587)
PF10763	DUF2584	Protein of unknown function (DUF2584)
PF10776	DUF2600	Protein of unknown function (DUF2600)
PF10778	DehI	Halocarboxylic acid dehydrogenase DehI
PF10786	G6PD_bact	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)
PF10801	DUF2537	Protein of unknown function (DUF2537)
PF10803	GerPB	Spore germination GerPB
PF10805	DUF2730	Protein of unknown function (DUF2730)
PF10809	DUF2732	Protein of unknown function (DUF2732)
PF10815	ComZ	ComZ
PF10824	T7SS_ESX_EspC	Excreted virulence factor EspC, type VII ESX diderm
PF10825	DUF2752	Protein of unknown function (DUF2752)
PF10832	DUF2559	Protein of unknown function (DUF2559)
PF10840	DUF2645	Protein of unknown function (DUF2645)
PF10850	DUF2653	Protein of unknown function (DUF2653)
PF10861	DUF2784	Protein of Unknown function (DUF2784)
PF10862	FcoT	FcoT-like thioesterase domain
PF10881	DUF2726	Protein of unknown function (DUF2726)
PF10904	DUF2694	Protein of unknown function (DUF2694)
PF10907	DUF2749	Protein of unknown function (DUF2749)
PF10908	DUF2778	Protein of unknown function (DUF2778)
PF10921	DUF2710	Protein of unknown function (DUF2710)
PF10929	DUF2811	Protein of unknown function (DUF2811)
PF10935	DUF2637	Protein of unknown function (DUF2637)
PF10938	YfdX	YfdX protein
PF10944	DUF2630	Protein of unknown function (DUF2630)
PF10945	CBP_BcsR	Cellulose biosynthesis protein BcsR
PF10947	DUF2628	Protein of unknown function (DUF2628)
PF10953	DUF2754	Protein of unknown function (DUF2754)
PF10954	DUF2755	Protein of unknown function (DUF2755)
PF10960	Holin_BhlA	BhlA holin family
PF10966	DUF2768	Protein of unknown function (DUF2768)
PF10969	DUF2771	Protein of unknown function (DUF2771)
PF10970	GerPE	Spore germination protein GerPE
PF10971	DUF2773	Protein of unknown function (DUF2773)
PF10974	DUF2804	Protein of unknown function (DUF2804)
PF10976	DUF2790	Protein of unknown function (DUF2790)
PF10977	DUF2797	Protein of unknown function (DUF2797)
PF10979	DUF2786	Protein of unknown function (DUF2786)
PF10983	DUF2793	Protein of unknown function (DUF2793)
PF10988	DUF2807	Putative auto-transporter adhesin, head GIN domain
PF10989	DUF2808	Protein of unknown function (DUF2808)
PF10990	DUF2809	Protein of unknown function (DUF2809)
PF10995	CBP_GIL	Cellulose biosynthesis GIL
PF10999	DUF2839	Protein of unknown function (DUF2839)
PF11004	Kdo_hydroxy	3-deoxy-D-manno-oct-2-ulosonic acid (Kdo) hydroxylase
PF11005	DUF2844	Protein of unknown function (DUF2844)
PF11010	DUF2848	Protein of unknown function (DUF2848)
PF11016	DUF2854	Protein of unknown function (DUF2854)
PF11019	DUF2608	Protein of unknown function (DUF2608)
PF11021	DUF2613	Protein of unknown function (DUF2613)
PF11026	DUF2721	Protein of unknown function (DUF2721)
PF11028	DUF2723	Protein of unknown function (DUF2723)
PF11042	DUF2750	Protein of unknown function (DUF2750)
PF11066	DUF2867	Protein of unknown function (DUF2867)
PF11067	DUF2868	Protein of unknown function (DUF2868)
PF11068	YlqD	YlqD protein
PF11072	DUF2859	Protein of unknown function (DUF2859)
PF11083	Streptin-Immun	Lantibiotic streptin immunity protein
PF11101	DUF2884	Protein of unknown function (DUF2884)
PF11102	YjbF	Group 4 capsule polysaccharide lipoprotein gfcB, YjbF
PF11106	YjbE	Exopolysaccharide production protein YjbE
PF11120	CBP_BcsF	Cellulose biosynthesis protein BcsF
PF11127	DUF2892	Protein of unknown function (DUF2892)
PF11136	DUF2889	Protein of unknown function (DUF2889)
PF11138	DUF2911	Protein of unknown function (DUF2911)
PF11139	SfLAP	Sap, sulfolipid-1-addressing protein
PF11140	DUF2913	Protein of unknown function (DUF2913)
PF11142	DUF2917	Protein of unknown function (DUF2917)
PF11143	DUF2919	Protein of unknown function (DUF2919)
PF11144	DUF2920	Protein of unknown function (DUF2920)
PF11148	DUF2922	Protein of unknown function (DUF2922)
PF11149	DUF2924	Protein of unknown function (DUF2924)
PF11151	DUF2929	Protein of unknown function (DUF2929)
PF11154	DUF2934	Protein of unknown function (DUF2934)
PF11158	DUF2938	Protein of unknown function (DUF2938)
PF11160	Hva1_TUDOR	Hypervirulence associated proteins TUDOR domain
PF11165	DUF2949	Protein of unknown function (DUF2949)
PF11167	DUF2953	Protein of unknown function (DUF2953)
PF11170	DUF2957	Protein of unknown function (DUF2957)
PF11174	DUF2970	Protein of unknown function (DUF2970)
PF11177	DUF2964	Protein of unknown function (DUF2964)
PF11178	DUF2963	Protein of unknown function (DUF2963)
PF11180	DUF2968	Protein of unknown function (DUF2968)
PF11182	AlgF	Alginate O-acetyl transferase AlgF
PF11185	DUF2971	Protein of unknown function (DUF2971)
PF11187	DUF2974	Protein of unknown function (DUF2974)
PF11190	DUF2976	Protein of unknown function (DUF2976)
PF11196	DEP1	Terpene cyclase DEP1
PF11199	DUF2891	Protein of unknown function (DUF2891)
PF11201	DUF2982	Protein of unknown function (DUF2982)
PF11222	DUF3017	Protein of unknown function (DUF3017)
PF11228	DUF3027	Protein of unknown function (DUF3027)
PF11230	DUF3029	Protein of unknown function (DUF3029)
PF11236	DUF3037	Protein of unknown function (DUF3037)
PF11237	DUF3038	Protein of unknown function (DUF3038)
PF11238	DUF3039	Protein of unknown function (DUF3039)
PF11239	DUF3040	Protein of unknown function (DUF3040)
PF11241	DUF3043	Protein of unknown function (DUF3043)
PF11248	DUF3046	Protein of unknown function (DUF3046)
PF11251	DUF3050	Protein of unknown function (DUF3050)
PF11253	DUF3052	Protein of unknown function (DUF3052)
PF11255	DUF3054	Protein of unknown function (DUF3054)
PF11258	DUF3048	Protein of unknown function (DUF3048) N-terminal domain
PF11266	Ald_deCOase	Long-chain fatty aldehyde decarbonylase
PF11268	DUF3071	Protein of unknown function (DUF3071)
PF11271	PorA	Porin PorA
PF11278	DUF3079	Protein of unknown function (DUF3079)
PF11284	DUF3085	Protein of unknown function (DUF3085)
PF11285	DUF3086	Protein of unknown function (DUF3086)
PF11288	DUF3089	Protein of unknown function (DUF3089)
PF11292	DUF3093	Protein of unknown function (DUF3093)
PF11296	DUF3097	Protein of unknown function (DUF3097)
PF11297	DUF3098	Protein of unknown function (DUF3098)
PF11298	DUF3099	Protein of unknown function (DUF3099)
PF11300	DUF3102	Protein of unknown function (DUF3102)
PF11304	DUF3106	Protein of unknown function (DUF3106)
PF11306	DUF3108	Protein of unknown function (DUF3108)
PF11314	DUF3117	Protein of unknown function (DUF3117)
PF11316	Rhamno_transf	Putative rhamnosyl transferase
PF11317	DUF3119	Protein of unknown function (DUF3119)
PF11329	DUF3131	Protein of unknown function (DUF3131)
PF11333	DUF3135	Protein of unknown function (DUF3135)
PF11336	DUF3138	Protein of unknown function (DUF3138)
PF11337	DUF3139	Protein of unknown function (DUF3139)
PF11339	DUF3141	Protein of unknown function (DUF3141)
PF11340	DUF3142	Protein of unknown function (DUF3142)
PF11343	DUF3145	Protein of unknown function (DUF3145)
PF11346	DUF3149	Protein of unknown function (DUF3149)
PF11350	DUF3152	Protein of unknown function (DUF3152)
PF11353	DUF3153	Protein of unknown function (DUF3153)
PF11361	DUF3159	Protein of unknown function (DUF3159)
PF11363	DUF3164	Protein of unknown function (DUF3164)
PF11368	DUF3169	Protein of unknown function (DUF3169)
PF11379	DUF3182	Protein of unknown function (DUF3182)
PF11380	Stealth_CR2	Stealth protein CR2, conserved region 2
PF11381	DUF3185	Protein of unknown function (DUF3185)
PF11382	MctB	Copper transport outer membrane protein, MctB
PF11384	DUF3188	Protein of unknown function (DUF3188)
PF11387	DUF2795	Protein of unknown function (DUF2795)
PF11391	DUF2798	Protein of unknown function (DUF2798)
PF11392	DUF2877	Protein of unknown function (DUF2877)
PF11396	PepSY_like	Putative beta-lactamase-inhibitor-like, PepSY-like
PF11397	GlcNAc	Glycosyltransferase (GlcNAc)
PF11421	Synthase_beta	ATP synthase F1 beta subunit
PF11444	DUF2895	Protein of unknown function (DUF2895)
PF11446	DUF2897	Protein of unknown function (DUF2897)
PF11452	DUF3000	Protein of unknown function (DUF3000)
PF11453	DUF2950	Protein of unknown function (DUF2950)
PF11468	PTase_Orf2	Aromatic prenyltransferase Orf2
PF11501	bCoV_NSP1	Betacoronavirus replicase NSP1
PF11512	Atu4866	Agrobacterium tumefaciens protein Atu4866
PF11522	Pik1	Yeast phosphatidylinositol-4-OH kinase Pik1
PF11528	DUF3224	Protein of unknown function (DUF3224)
PF11533	DUF3225	Protein of unknown function (DUF3225)
PF11546	CompInhib_SCIN	Staphylococcal complement inhibitor SCIN
PF11553	DUF3231	Protein of unknown function (DUF3231)
PF11575	FhuF_C	FhuF 2Fe-2S C-terminal domain
PF11578	DUF3237	Protein of unknown function (DUF3237)
PF11583	AurF	P-aminobenzoate N-oxygenase AurF
PF11606	AlcCBM31	Family 31 carbohydrate binding protein
PF11614	FixG_C	IG-like fold at C-terminal of FixG, putative oxidoreductase
PF11616	EZH2_WD-Binding	WD repeat binding protein EZH2
PF11621	Sbi-IV	C3 binding domain 4 of IgG-bind protein SBI
PF11625	DUF3253	Protein of unknown function (DUF3253)
PF11629	Mst1_SARAH	C terminal SARAH domain of Mst1
PF11648	RIG-I_C-RD	C-terminal domain of RIG-I
PF11658	CBP_BcsG	Cellulose biosynthesis protein BcsG
PF11659	DUF3261	Protein of unknown function (DUF3261)
PF11660	DUF3262	Protein of unknown function (DUF3262)
PF11662	DUF3263	Protein of unknown function (DUF3263)
PF11665	DUF3265	Protein of unknown function (DUF3265)
PF11666	DUF2933	Protein of unknown function (DUF2933)
PF11672	DUF3268	zinc-finger-containing domain
PF11676	DUF3272	Protein of unknown function (DUF3272)
PF11679	DUF3275	Protein of unknown function (DUF3275)
PF11683	DUF3278	Protein of unknown function (DUF3278)
PF11684	DUF3280	Protein of unknown function (DUF2380)
PF11694	DUF3290	Protein of unknown function (DUF3290)
PF11695	DUF3291	Domain of unknown function (DUF3291)
PF11698	V-ATPase_H_C	V-ATPase subunit H
PF11700	ATG22	Vacuole effluxer Atg22 like
PF11706	zf-CGNR	CGNR zinc finger
PF11716	MDMPI_N	Mycothiol maleylpyruvate isomerase N-terminal domain
PF11722	zf-TRM13_CCCH	CCCH zinc finger in TRM13 protein
PF11726	Inovirus_Gp2	Inovirus Gp2
PF11734	TilS_C	TilS substrate C-terminal domain
PF11736	DUF3299	Protein of unknown function (DUF3299)
PF11737	DUF3300	Protein of unknown function (DUF3300)
PF11738	DUF3298	Protein of unknown function (DUF3298)
PF11741	AMIN	AMIN domain
PF11746	DUF3303	Protein of unknown function (DUF3303)
PF11747	RebB	Killing trait
PF11752	DUF3309	Protein of unknown function (DUF3309)
PF11755	DUF3311	Protein of unknown function (DUF3311)
PF11762	Arabinose_Iso_C	L-arabinose isomerase C-terminal domain
PF11765	Hyphal_reg_CWP	Hyphally regulated cell wall protein N-terminal
PF11769	DUF3313	Protein of unknown function (DUF3313)
PF11783	Cytochrome_cB	Cytochrome c bacterial
PF11790	Glyco_hydro_cc	Glycosyl hydrolase catalytic core
PF11791	Aconitase_B_N	Aconitate B N-terminal domain
PF11794	HpaB_N	4-hydroxyphenylacetate 3-hydroxylase N terminal
PF11798	IMS_HHH	IMS family HHH motif
PF11799	IMS_C	impB/mucB/samB family C-terminal domain
PF11803	UXS1_N	UDP-glucuronate decarboxylase N-terminal
PF11804	DUF3325	Protein of unknown function (DUF3325)
PF11806	DUF3327	Domain of unknown function (DUF3327)
PF11808	PhoR	Phosphate regulon sensor protein PhoR
PF11812	DUF3333	Domain of unknown function (DUF3333)
PF11815	DUF3336	Domain of unknown function (DUF3336)
PF11821	DUF3341	Protein of unknown function (DUF3341)
PF11829	DUF3349	Protein of unknown function (DUF3349)
PF11836	Phage_TAC_11	Phage tail tube protein, GTA-gp10
PF11837	DUF3357	Domain of unknown function (DUF3357)
PF11844	DUF3364	Domain of unknown function (DUF3364)
PF11845	DUF3365	Protein of unknown function (DUF3365)
PF11846	Wzy_C_2	Virulence factor membrane-bound polymerase, C-terminal
PF11847	DUF3367	Alpha-(1->3)-arabinofuranosyltransferase
PF11852	DUF3372	Domain of unknown function (DUF3372)
PF11854	MtrB_PioB	Putative outer membrane beta-barrel porin, MtrB/PioB
PF11855	DUF3375	Protein of unknown function (DUF3375)
PF11856	DUF3376	Protein of unknown function (DUF3376)
PF11857	DUF3377	Domain of unknown function (DUF3377)
PF11862	DUF3382	Domain of unknown function (DUF3382)
PF11871	DUF3391	Domain of unknown function (DUF3391)
PF11873	Mltc_N	Membrane-bound lytic murein transglycosylase C, N-terminal domain
PF11883	DUF3403	Domain of unknown function (DUF3403)
PF11887	Mce4_CUP1	Cholesterol uptake porter CUP1 of Mce4, putative
PF11889	DUF3409	Domain of unknown function (DUF3409)
PF11890	DUF3410	Domain of unknown function (DUF3410)
PF11893	DUF3413	Domain of unknown function (DUF3413)
PF11896	DUF3416	Domain of unknown function (DUF3416)
PF11897	DUF3417	Protein of unknown function (DUF3417)
PF11898	DUF3418	Domain of unknown function (DUF3418)
PF11902	DUF3422	Protein of unknown function (DUF3422)
PF11903	ParD_like	ParD-like antitoxin of type II bacterial toxin-antitoxin system
PF11906	DUF3426	Protein of unknown function (DUF3426)
PF11907	DUF3427	Domain of unknown function (DUF3427)
PF11909	NdhN	NADH-quinone oxidoreductase cyanobacterial subunit N
PF11910	NdhO	Cyanobacterial and plant NDH-1 subunit O
PF11920	DUF3438	Protein of unknown function (DUF3438)
PF11922	DUF3440	Domain of unknown function (DUF3440)
PF11924	IAT_beta	Inverse autotransporter, beta-domain
PF11925	DUF3443	Protein of unknown function (DUF3443)
PF11927	DUF3445	Protein of unknown function (DUF3445)
PF11932	DUF3450	Protein of unknown function (DUF3450)
PF11941	DUF3459	Domain of unknown function (DUF3459)
PF11944	DUF3461	Protein of unknown function (DUF3461)
PF11946	DUF3463	Domain of unknown function (DUF3463)
PF11949	DUF3466	Protein of unknown function (DUF3466)
PF11953	DUF3470	Domain of unknown function (DUF3470)
PF11954	DUF3471	Domain of unknown function (DUF3471)
PF11959	DUF3473	Domain of unknown function (DUF3473)
PF11960	DUF3474	Domain of unknown function (DUF3474)
PF11964	SpoIIAA-like	SpoIIAA-like
PF11965	DUF3479	Domain of unknown function (DUF3479)
PF11968	Bmt2	25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2
PF11973	NQRA_SLBB	NQRA C-terminal domain
PF11974	bMG3	Bacterial alpha-2-macroglobulin MG3 domain
PF11975	Glyco_hydro_4C	Family 4 glycosyl hydrolase C-terminal domain
PF11981	DUF3482	Domain of unknown function (DUF3482)
PF11984	DUF3485	Protein of unknown function (DUF3485)
PF11990	DUF3487	Protein of unknown function (DUF3487)
PF11991	Trp_DMAT	Tryptophan dimethylallyltransferase
PF11994	DUF3489	Protein of unknown function (DUF3489)
PF11997	DUF3492	Domain of unknown function (DUF3492)
PF11998	DUF3493	Low psii accumulation1 / Rep27
PF12000	Glyco_trans_4_3	Glycosyl transferase family 4 group
PF12002	MgsA_C	MgsA AAA+ ATPase C terminal
PF12005	DUF3499	Protein of unknown function (DUF3499)
PF12006	DUF3500	Protein of unknown function (DUF3500)
PF12029	DUF3516	Domain of unknown function (DUF3516)
PF12034	DUF3520	Domain of unknown function (DUF3520)
PF12048	DUF3530	Protein of unknown function (DUF3530)
PF12062	HSNSD	heparan sulfate-N-deacetylase
PF12063	DUF3543	Domain of unknown function (DUF3543)
PF12071	DUF3551	Protein of unknown function (DUF3551)
PF12072	RNase_Y_N	RNase Y N-terminal region
PF12077	DUF3556	Transmembrane protein of unknown function (DUF3556)
PF12079	DUF3558	Protein of unknown function (DUF3558)
PF12083	DUF3560	Domain of unknown function (DUF3560)
PF12084	DUF3561	Protein of unknown function (DUF3561)
PF12087	DUF3564	Protein of unknown function (DUF3564)
PF12091	DUF3567	Protein of unknown function (DUF3567)
PF12092	DUF3568	Protein of unknown function (DUF3568)
PF12095	CRR7	Protein CHLORORESPIRATORY REDUCTION 7
PF12097	DUF3573	Protein of unknown function (DUF3573)
PF12101	DUF3577	Protein of unknown function (DUF3577)
PF12102	MrcB_N	MrcB-like, N-terminal domain
PF12122	Rhomboid_N	Cytoplasmic N-terminal domain of rhomboid serine protease
PF12123	CBD_PlyG	PlyG Cell wall binding domain
PF12124	bCoV_SUD_C	Betacoronavirus SUD-C domain
PF12128	DUF3584	Protein of unknown function (DUF3584)
PF12131	DUF3586	Protein of unknown function (DUF3586)
PF12139	APS-reductase_C	Adenosine-5'-phosphosulfate reductase beta subunit
PF12142	PPO1_DWL	Polyphenol oxidase middle domain
PF12143	PPO1_KFDV	Protein of unknown function (DUF_B2219)
PF12147	Methyltransf_20	Putative methyltransferase
PF12161	HsdM_N	HsdM N-terminal domain
PF12179	IKKbetaNEMObind	I-kappa-kinase-beta NEMO binding domain
PF12200	DUF3597	Domain of unknown function (DUF3597)
PF12202	OSR1_C	Oxidative-stress-responsive kinase 1 C-terminal domain
PF12225	DUF5981	Methylene-tetrahydrofolate reductase C terminal
PF12227	DUF3603	Protein of unknown function (DUF3603)
PF12241	Enoyl_reductase	Trans-2-enoyl-CoA reductase catalytic region
PF12242	Eno-Rase_NADH_b	NAD(P)H binding domain of trans-2-enoyl-CoA reductase
PF12244	DUF3606	Protein of unknown function (DUF3606)
PF12249	AftA_C	Arabinofuranosyltransferase A C terminal
PF12250	AftA_N	Arabinofuranosyltransferase N terminal
PF12252	SidE_PDE	SidE phosphodiesterase (PDE) domain
PF12255	TcdB_toxin_midC	Insecticide toxin TcdB middle/C-terminal region
PF12256	TcdB_toxin_midN	Insecticide toxin TcdB middle/N-terminal region
PF12261	T_hemolysin	Thermostable hemolysin
PF12270	Cyt_c_ox_IV	Cytochrome c oxidase subunit IV
PF12277	DUF3618	Protein of unknown function (DUF3618)
PF12281	NTP_transf_8	Nucleotidyltransferase
PF12285	DUF3621	Mamastrovirus p20 protein
PF12291	DUF3623	Protein of unknown function (DUF3623)
PF12293	T4BSS_DotH_IcmK	Putative outer membrane core complex of type IVb secretion
PF12318	FAD-SLDH	Membrane bound FAD containing D-sorbitol dehydrogenase
PF12320	SbcD_C	Type 5 capsule protein repressor C-terminal domain
PF12324	HTH_15	Helix-turn-helix domain of alkylmercury lyase
PF12343	DeaD_C	DeaD helicase C-terminal disordered region
PF12349	Sterol-sensing	Sterol-sensing domain of SREBP cleavage-activation
PF12365	DUF3649	Protein of unknown function (DUF3649)
PF12367	PFO_beta_C	Pyruvate ferredoxin oxidoreductase beta subunit C terminal
PF12368	Rhodanese_C	Rhodanase C-terminal
PF12387	Peptidase_C74	Pestivirus NS2 peptidase
PF12390	Se-cys_synth_N	Selenocysteine synthase N terminal
PF12395	DUF3658	Protein of unknown function
PF12398	DUF3660	Receptor serine/threonine kinase
PF12404	DUF3663	Peptidase
PF12409	P5-ATPase	P5-type ATPase cation transporter
PF12418	AcylCoA_DH_N	Acyl-CoA dehydrogenase N terminal
PF12424	ATP_Ca_trans_C	Plasma membrane calcium transporter ATPase C terminal
PF12437	GSIII_N	Glutamine synthetase type III N terminal
PF12464	Mac	Maltose acetyltransferase
PF12467	CMV_1a	Cucumber mosaic virus 1a protein family
PF12474	PKK	Polo kinase kinase
PF12484	PPE-SVP	PPE-SVP subfamily C-terminal region
PF12502	DUF3710	Protein of unknown function (DUF3710)
PF12503	CMV_1a_C	Cucumber mosaic virus 1a protein C terminal
PF12529	Xylo_C	Xylosyltransferase C terminal
PF12535	Nudix_N	Hydrolase of X-linked nucleoside diphosphate N terminal
PF12536	DUF3734	Patatin phospholipase
PF12544	LAM_C	Lysine-2,3-aminomutase
PF12549	TOH_N	Tyrosine hydroxylase N terminal
PF12555	TPPK_C	Thiamine pyrophosphokinase C terminal
PF12558	DUF3744	ATP-binding cassette cobalt transporter
PF12566	DUF3748	Protein of unknown function (DUF3748)
PF12567	CD45	Leukocyte receptor CD45
PF12581	DUF3756	Protein of unknown function (DUF3756)
PF12590	Acyl-thio_N	Acyl-ATP thioesterase
PF12592	DUF3763	Protein of unknown function (DUF3763)
PF12601	Rubi_NSP_C	Rubivirus non-structural protein
PF12602	FinO_N	Fertility inhibition protein N terminal
PF12605	CK1gamma_C	Casein kinase 1 gamma C terminal
PF12607	DUF3772	Protein of unknown function (DUF3772)
PF12615	TraD_N	F sex factor protein N terminal
PF12616	DUF3775	Protein of unknown function (DUF3775)
PF12689	Acid_PPase	Acid Phosphatase
PF12697	Abhydrolase_6	Alpha/beta hydrolase family
PF12710	HAD	haloacid dehalogenase-like hydrolase
PF12740	Chlorophyllase2	Chlorophyllase enzyme
PF12899	Glyco_hydro_100	Alkaline and neutral invertase
PF12905	Glyco_hydro_101	Endo-alpha-N-acetylgalactosaminidase
PF12919	TcdA_TcdB	TcdA/TcdB catalytic glycosyltransferase domain
PF13145	Rotamase_2	PPIC-type PPIASE domain
PF13183	Fer4_8	4Fe-4S dicluster domain
PF13199	Glyco_hydro_66	Glycosyl hydrolase family 66
PF13241	NAD_binding_7	Putative NAD(P)-binding
PF13243	SQHop_cyclase_C	Squalene-hopene cyclase C-terminal domain
PF13249	SQHop_cyclase_N	Squalene-hopene cyclase N-terminal domain
PF13292	DXP_synthase_N	1-deoxy-D-xylulose-5-phosphate synthase
PF13302	Acetyltransf_3	Acetyltransferase (GNAT) domain
PF13303	PTS_EIIC_2	Phosphotransferase system, EIIC
PF13336	AcetylCoA_hyd_C	Acetyl-CoA hydrolase/transferase C-terminal domain
PF13367	PrsW-protease	PrsW family intramembrane metalloprotease
PF13378	MR_MLE_C	Enolase C-terminal domain-like
PF13434	K_oxygenase	L-lysine 6-monooxygenase (NADPH-requiring)
PF13471	Transglut_core3	Transglutaminase-like superfamily
PF13489	Methyltransf_23	Methyltransferase domain
PF13506	Glyco_transf_21	Glycosyl transferase family 21
PF13508	Acetyltransf_7	Acetyltransferase (GNAT) domain
PF13535	ATP-grasp_4	ATP-grasp domain
PF13561	adh_short_C2	Enoyl-(Acyl carrier protein) reductase
PF13581	HATPase_c_2	Histidine kinase-like ATPase domain
PF13618	Gluconate_2-dh3	Gluconate 2-dehydrogenase subunit 3
PF13631	Cytochrom_B_N_2	Cytochrome b(N-terminal)/b6/petB
PF13640	2OG-FeII_Oxy_3	2OG-Fe(II) oxygenase superfamily
PF13649	Methyltransf_25	Methyltransferase domain
PF13673	Acetyltransf_10	Acetyltransferase (GNAT) domain
PF13714	PEP_mutase	Phosphoenolpyruvate phosphomutase
PF13718	GNAT_acetyltr_2	GNAT acetyltransferase 2
PF13733	Glyco_transf_7N	N-terminal region of glycosyl transferase group 7
PF13816	Dehydratase_hem	Haem-containing dehydratase
PF13822	ACC_epsilon	Acyl-CoA carboxylase epsilon subunit
PF13892	DBINO	DNA-binding domain
PF14010	PEPcase_2	Phosphoenolpyruvate carboxylase
PF14028	Lant_dehydr_C	Lantibiotic biosynthesis dehydratase C-term
